The Assassination of Jesse James by the Coward Robert Ford,Biography
Don Jon,Comedy
Bastille Day,Action
2307: Winter's Dream,Sci-Fi
Free State of Jones,Action
Mr. Right,Action
The Secret Life of Walter Mitty,Adventure
Dope,Comedy
Underworld Awakening,Action
Antichrist,Drama
Friday the 13th,Horror
Taken 3,Action
Total Recall,Action
X-Men: The Last Stand,Action
The Escort,Comedy
The Whole Truth,Crime
Night at the Museum: Secret of the Tomb,Adventure
Love & Other Drugs,Comedy
The Interview,Comedy
The Host,Comedy
Megan Is Missing,Drama
WALL·E,Animation
Knocked Up,Comedy
Source Code,Mystery
Lawless,Crime
Unfriended,Drama
American Reunion,Comedy
The Pursuit of Happyness,Biography
Relatos salvajes,Comedy
The Ridiculous 6,Comedy
Frantz,Drama
Viral,Drama
Gran Torino,Drama
Burnt,Comedy
Tall Men,Fantasy
Sleeping Beauty,Drama
Vampire Academy,Action
Sweeney Todd: The Demon Barber of Fleet Street,Drama
Solace,Crime
Insidious,Horror
Popstar: Never Stop Never Stopping,Comedy
The Levelling,Drama
Public Enemies,Biography
Boyhood,Drama
Teenage Mutant Ninja Turtles,Action
Eastern Promises,Crime
The Daughter,Drama
Pineapple Express,Action
The First Time,Comedy
Gone Baby Gone,Crime
The Heat,Action
L'avenir,Drama
Anna Karenina,Drama
Regression,Crime
Ted 2,Adventure
Pain & Gain,Comedy
Blood Diamond,Adventure
Devil's Knot,Biography
Child 44,Crime
The Hurt Locker,Drama
Green Lantern,Action
War on Everyone,Action
The Mist,Horror
Escape Plan,Action
Love, Rosie
The DUFF,Comedy
The Age of Shadows,Action
The Hunger Games: Mockingjay - Part 1,Action
We Need to Talk About Kevin,Drama
Love & Friendship,Comedy
The Mortal Instruments: City of Bones,Action
Seven Pounds,Drama
The King's Speech,Biography
Hunger,Biography
Jumper,Action
Toy Story 3,Animation
Tinker Tailor Soldier Spy,Drama
Resident Evil: Retribution,Action
Dear Zindagi,Drama
Genius,Biography
Pompeii,Action
Life of Pi,Adventure
Hachi: A Dog's Tale,Drama
10 Years,Comedy
I Origins,Drama
Live Free or Die Hard,Action
The Matchbreaker,Comedy
Funny Games,Crime
Ted,Comedy
RED,Action
Australia,Adventure
Faster,Action
The Neighbor,Crime
The Adjustment Bureau,Romance
The Hollars,Comedy
The Judge,Crime
Closed Circuit,Crime
Transformers: Revenge of the Fallen,Action
La tortue rouge,Animation
The Book of Life,Animation
Incendies,Drama
The Heartbreak Kid,Comedy
Happy Feet,Animation
Entourage,Comedy
The Strangers,Horror
Noah,Action
Neighbors,Comedy
Nymphomaniac: Vol. II,Drama
Wild,Adventure
Grown Ups,Comedy
Blair Witch,Horror
The Karate Kid,Action
Dark Shadows,Comedy
Friends with Benefits,Comedy
The Illusionist,Drama
The A-Team,Action
The Guest,Thriller
The Internship,Comedy
Paul,Adventure
This Beautiful Fantastic,Comedy
The Da Vinci Code,Mystery
Mr. Church,Comedy
Hugo,Adventure
The Blackcoat's Daughter,Horror
Body of Lies,Action
Knight of Cups,Drama
The Mummy: Tomb of the Dragon Emperor,Action
The Boss,Comedy
Hands of Stone,Action
El secreto de sus ojos,Drama
True Grit,Adventure
We Are Your Friends,Drama
A Million Ways to Die in the West,Comedy
Only for One Night,Thriller
Rules Don't Apply,Comedy
Ouija: Origin of Evil,Horror
Percy Jackson: Sea of Monsters,Adventure
Fracture,Crime
Oculus,Horror
In Bruges,Comedy
This Means War,Action
Lída Baarová,Biography
The Road,Adventure
Lavender,Drama
Deuces,Drama
Conan the Barbarian,Action
The Fighter,Action
August Rush,Drama
Chef,Comedy
Eye in the Sky,Drama
Eagle Eye,Action
The Purge,Horror
PK,Comedy
Ender's Game,Action
Indiana Jones and the Kingdom of the Crystal Skull,Action
Paper Towns,Drama
High-Rise,Drama
Quantum of Solace,Action
The Assignment,Action
How to Train Your Dragon,Animation
Lady in the Water,Drama
The Fountain,Drama
Cars 2,Animation
31,Horror
Final Girl,Action
Chalk It Up,Comedy
The Man Who Knew Infinity,Biography
Unknown,Action
Self/less,Action
Mr. Brooks,Crime
Tramps,Comedy
Before We Go,Comedy
Captain Phillips,Biography
The Secret Scripture,Drama
Max Steel,Action
Hotel Transylvania 2,Animation
Hancock,Action
Sisters,Comedy
The Family,Comedy
Zack and Miri Make a Porno,Comedy
Ma vie de Courgette,Animation
Man on a Ledge,Action
No Strings Attached,Comedy
Rescue Dawn,Adventure
Despicable Me 2,Animation
A Walk Among the Tombstones,Crime
The World's End,Action
Yoga Hosers,Comedy
Seven Psychopaths,Comedy
Beowulf,Animation
Jack Ryan: Shadow Recruit,Action
1408,Fantasy
The Gambler,Crime
Prince of Persia: The Sands of Time,Action
The Spectacular Now,Comedy
A United Kingdom,Biography
USS Indianapolis: Men of Courage,Action
Turbo Kid,Action
Mama,Horror
Orphan,Horror
To Rome with Love,Comedy
Fantastic Mr. Fox,Animation
Inside Man,Crime
I.T.,Crime
127 Hours,Adventure
Annabelle,Horror
Wolves at the Door,Horror
Suite Française,Drama
The Imaginarium of Doctor Parnassus,Adventure
G.I. Joe: The Rise of Cobra,Action
Christine,Biography
Man Down,Drama
Crawlspace,Horror
Shut In,Drama
The Warriors Gate,Action
Grindhouse,Action
Disaster Movie,Comedy
Rocky Balboa,Drama
Diary of a Wimpy Kid: Dog Days,Comedy
Jane Eyre,Drama
Fool's Gold,Action
The Dictator,Comedy
The Loft,Mystery
Bacalaureat,Crime
You Don't Mess with the Zohan,Action
Exposed,Crime
Maudie,Biography
Horrible Bosses 2,Comedy
A Bigger Splash,Drama
Melancholia,Drama
The Princess and the Frog,Animation
Unstoppable,Action
Flight,Drama
Home,Animation
La migliore offerta,Crime
Mean Dreams,Thriller
42,Biography
21,Crime
Begin Again,Drama
Out of the Furnace,Crime
Vicky Cristina Barcelona,Drama
Kung Fu Panda,Animation
Barbershop: The Next Cut,Comedy
Terminator Salvation,Action
Freedom Writers,Biography
The Hills Have Eyes,Horror
Changeling,Biography
Remember Me,Drama
Koe no katachi,Animation
Alexander and the Terrible, Horrible
Locke,Drama
The 9th Life of Louis Drax,Mystery
Horns,Drama
Indignation,Drama
The Stanford Prison Experiment,Biography
Diary of a Wimpy Kid: Rodrick Rules,Comedy
Mission: Impossible III,Action
En man som heter Ove,Comedy
Dragonball Evolution,Action
Red Dawn,Action
One Day,Drama
Life as We Know It,Comedy
28 Weeks Later,Drama
Warm Bodies,Comedy
Blue Jasmine,Drama
G.I. Joe: Retaliation,Action
Wrath of the Titans,Action
Shin Gojira,Action
Saving Mr. Banks,Biography
Transcendence,Drama
Rio,Animation
Equals,Drama
Babel,Drama
The Tree of Life,Drama
The Lucky One,Drama
Piranha 3D,Comedy
50/50,Comedy
The Intent,Crime
This Is 40,Comedy
Real Steel,Action
Sex and the City,Comedy
Rambo,Action
Planet Terror,Action
Concussion,Biography
The Fall,Adventure
The Ugly Truth,Comedy
Bride Wars,Comedy
Sleeping with Other People,Comedy
Snakes on a Plane,Action
What If,Comedy
How to Train Your Dragon 2,Animation
RoboCop,Action
In Dubious Battle,Drama
Hello, My Name Is Doris
Ocean's Thirteen,Crime
Slither,Comedy
Contagion,Drama
Il racconto dei racconti - Tale of Tales,Drama
I Am the Pretty Thing That Lives in the House,Thriller
Bridge to Terabithia,Adventure
Coherence,Mystery
Notorious,Biography
Goksung,Drama
The Expendables 2,Action
The Girl Next Door,Crime
Perfume: The Story of a Murderer,Crime
The Golden Compass,Adventure
Centurion,Action
Scouts Guide to the Zombie Apocalypse,Action
17 Again,Comedy
No Escape,Action
Superman Returns,Action
The Twilight Saga: Breaking Dawn - Part 1,Adventure
Precious,Drama
The Sea of Trees,Drama
Good Kids,Comedy
The Master,Drama
Footloose,Comedy
If I Stay,Drama
The Ticket,Drama
Detour,Thriller
The Love Witch,Comedy
Talladega Nights: The Ballad of Ricky Bobby,Action
The Human Centipede (First Sequence),Horror
Super,Comedy
The Siege of Jadotville,Action
Up in the Air,Drama
The Midnight Meat Train,Horror
The Twilight Saga: Eclipse,Adventure
Transpecos,Thriller
What's Your Number?,Comedy
Riddick,Action
Triangle,Fantasy
The Butler,Biography
King Cobra,Crime
After Earth,Action
Kicks,Adventure
Me and Earl and the Dying Girl,Comedy
The Descendants,Comedy
Sex and the City 2,Comedy
The Kings of Summer,Adventure
Death Race,Action
That Awkward Moment,Comedy
Legion,Action
End of Watch,Crime
3 Days to Kill,Action
Lucky Number Slevin,Crime
Trance,Crime
Into the Forest,Drama
The Other Boleyn Girl,Biography
I Spit on Your Grave,Crime
Custody,Drama
Inland Empire,Drama
L'odyssée,Adventure
The Walk,Adventure
Wrecker,Action
The Lone Ranger,Action
Texas Chainsaw 3D,Horror
Disturbia,Drama
Rock of Ages,Comedy
Scream 4,Horror
Queen of Katwe,Biography
My Big Fat Greek Wedding 2,Comedy
Dark Places,Drama
Amateur Night,Comedy
It's Only the End of the World,Drama
The Skin I Live In,Drama
Miracles from Heaven,Biography
Annie,Comedy
Across the Universe,Drama
Let's Be Cops,Comedy
Max,Adventure
Your Highness,Adventure
Final Destination 5,Horror
Endless Love,Drama
Martyrs,Horror
Selma,Biography
Underworld: Rise of the Lycans,Action
Taare Zameen Par,Drama
Take Me Home Tonight,Comedy
Resident Evil: Afterlife,Action
Project X,Comedy
Secret in Their Eyes,Crime
Hostel: Part II,Horror
Step Up 2: The Streets,Drama
Search Party,Adventure
Nine Lives,Comedy
Guardians of the Galaxy,Adventure
Prometheus,Mystery
Split,Thriller
Sing,Comedy
Suicide Squad,Adventure
The Great Wall,Adventure
La La Land,Drama
Mindhorn,
The Lost City of Z,Adventure
Passengers,Drama
Fantastic Beasts and Where to Find Them,Family
Hidden Figures,Drama
Rogue One,Adventure
Moana,Adventure
Colossal,Comedy
The Secret Life of Pets,Adventure
Hacksaw Ridge,Drama
Jason Bourne,Thriller
Lion,Drama
Arrival,Mystery
Gold,Drama
Manchester by the Sea,
Hounds of Love,Drama
Trolls,Adventure
Independence Day: Resurgence,Adventure
Paris pieds nus,
Bahubali: The Beginning,Adventure
Dead Awake,Thriller
Bad Moms,
Assassin's Creed,Adventure
Why Him?,
Nocturnal Animals,Thriller
X-Men: Apocalypse,Adventure
Deadpool,Adventure
Resident Evil: The Final Chapter,Horror
Captain America: Civil War,Adventure
Interstellar,Drama
Doctor Strange,Adventure
The Magnificent Seven,Adventure
5- 25- 77,Drama
Sausage Party,Adventure
Moonlight,
Don't Fuck in the Woods,
The Founder,Drama
Lowriders,
Pirates of the Caribbean: On Stranger Tides,Adventure
Miss Sloane,Thriller
Fallen,Drama
Star Trek Beyond,Adventure
The Last Face,
Star Wars: Episode VII - The Force Awakens,Adventure
Underworld: Blood Wars,Adventure
Mother's Day,Drama
John Wick,Crime
The Dark Knight,Crime
Silence,Drama
Don't Breathe,Horror
Me Before You,Romance
Their Finest,Drama
Sully,Drama
Batman v Superman: Dawn of Justice,Adventure
The Autopsy of Jane Doe,Mystery
The Girl on the Train,Drama
Fifty Shades of Grey,Romance
The Prestige,Mystery
Kingsman: The Secret Service,Adventure
Patriots Day,History
Mad Max: Fury Road,Adventure
Wakefield,
Deepwater Horizon,Drama
The Promise,History
Allied,Drama
A Monster Calls,Fantasy
Collateral Beauty,Romance
Zootopia,Adventure
Pirates of the Caribbean: At World's End,Adventure
The Avengers,Sci-Fi
Inglourious Basterds,Drama
Pirates of the Caribbean: Dead Man's Chest,Adventure
Ghostbusters,Comedy
Inception,Adventure
Captain Fantastic,Drama
The Wolf of Wall Street,Comedy
Gone Girl,Drama
Furious Seven,Crime
Jurassic World,Adventure
Live by Night,Drama
Avatar,Adventure
The Hateful Eight,Drama
The Accountant,Crime
Prisoners,Drama
Warcraft,Adventure
The Help,
War Dogs,Crime
Avengers: Age of Ultron,Adventure
The Nice Guys,Comedy
Kimi no na wa,Drama
The Void,Mystery
Personal Shopper,Mystery
The Departed,Drama
Legend,Crime
Thor,Adventure
The Martian,Drama
Contratiempo,Mystery
The Man from U.N.C.L.E.,Adventure
Hell or High Water,Drama
The Comedian,
The Legend of Tarzan,Adventure
All We Had,
Ex Machina,Mystery
The Belko Experiment,Horror
12 Years a Slave,Drama
The Bad Batch,Sci-Fi
300,Fantasy
Harry Potter and the Deathly Hallows: Part 2,Drama
Office Christmas Party,
The Neon Demon,Thriller
Dangal,Biography
10 Cloverfield Lane,Horror
Finding Dory,Adventure
Miss Peregrine's Home for Peculiar Children,Drama
Divergent,Mystery
Mike and Dave Need Wedding Dates,Comedy
Boyka: Undisputed IV,
The Dark Knight Rises,Thriller
The Jungle Book,Drama
Transformers: Age of Extinction,Adventure
Nerve,Crime
Mamma Mia!,Family
The Revenant,Drama
Fences,
Into the Woods,Comedy
The Shallows,Horror
Whiplash,Music
Furious 6,Crime
The Place Beyond the Pines,Drama
No Country for Old Men,Drama
The Great Gatsby,Romance
Shutter Island,Thriller
Brimstone,Thriller
Star Trek,Adventure
Diary of a Wimpy Kid,Family
The Big Short,Comedy
Room,
Django Unchained,Western
Ah-ga-ssi,Mystery
The Edge of Seventeen,Drama
Watchmen,Drama
Superbad,
Inferno,Adventure
The BFG,Family
