t_const,season_num,episode_num
tt0068060,1,1
tt0165592,2,17
tt0068064,1,0
tt2162303,NULL,NULL
tt0297628,1,4
tt0165592,3,7
tt0165593,8,2
tt0797756,1,12
tt0165592,3,9
tt0797756,1,15
tt0165593,8,3
tt0212699,7,30
tt0212699,8,16
tt0068093,1,0
tt0165593,7,8
tt0212699,8,2
tt0165593,8,4
tt0165592,3,4
tt0165593,7,7
tt0212699,7,29
tt0165593,8,1
tt2162303,NULL,NULL
tt0212699,7,16
tt0797756,1,13
tt2162303,NULL,NULL
tt0212699,7,19
tt0806910,1,22
tt0165592,3,1
tt0068126,1,0
tt0423738,1,3
tt0423738,1,1
tt0222545,1,5
tt0069633,1,0
tt0165592,2,11
tt0068135,1,0
tt0806910,1,24
tt0806910,1,21
tt0806910,1,19
tt0806910,1,25
tt0069643,1,0
tt1414347,1,4
tt0212699,8,4
tt0797756,1,14
tt1414347,1,2
tt0212699,7,17
tt0046593,17,4
tt0222545,1,7
tt0212699,8,32
tt0165592,3,19
tt0165593,8,5
tt1695587,NULL,NULL
tt0797756,1,16
tt0165593,8,6
tt0297621,6,9
tt0165593,8,8
tt1466074,2,6
tt1466074,3,2
tt1466074,3,3
tt1466074,3,4
tt1466074,2,8
tt1466074,3,1
tt1466074,2,7
tt0165593,9,2
tt0212699,8,29
tt0164295,1,4
tt0931193,1,1
tt0931193,1,2
tt0931193,1,3
tt0202206,1,2
tt0407366,1,6
tt0065296,4,4
tt0165592,3,20
tt0069589,1,0
tt0165592,4,2
tt0212699,8,22
tt0762803,1,2
tt0070977,2,1
tt0297621,5,20
tt0069606,1,0
tt0165592,3,21
tt0069599,1,0
tt0298709,1,5
tt1667703,1,2
tt1695587,NULL,NULL
tt1667703,1,3
tt0164295,2,4
tt0165592,3,16
tt0312084,1,3
tt1049986,1,1
tt0212699,8,21
tt0069620,1,0
tt0165593,9,4
tt0165593,9,3
tt0202179,2,1
tt0165593,8,7
tt0164295,1,3
tt0165592,3,15
tt0165592,3,22
tt0797756,1,17
tt0070993,1,0
tt0806910,1,29
tt0806910,1,34
tt0348892,NULL,NULL
tt0165592,3,24
tt0069646,1,0
tt0298709,1,3
tt0065327,2,18
tt1695587,NULL,NULL
