tconst,numVotes,averageRating
tt0000941,5,5.4
tt0000942,570,6.1
tt0000944,5,3.8
tt0000945,28,4.7
tt0000946,23,4.7
tt0000950,8,4
tt0000957,24,6.9
tt0000960,168,4.7
tt0000961,11,8
tt0000966,250,5.9
tt0000969,11,6.2
tt0000970,37,5.7
tt0000971,89,6.2
tt0000972,15,5.3
tt0000974,10,5.3
tt0000976,7,4.4
tt0000979,6,4.5
tt0000981,7,6
tt0000986,67,5.1
tt0000987,6,7.8
tt0000988,6,4
tt0000990,29,6.3
tt0000992,6,5.2
tt0000995,5,7.6
tt0000997,5,7.2
tt0000998,7,5.9
tt0001000,5,6.2
tt0001001,41,5.6
tt0001002,54,4.9
tt0001008,9,5.2
tt0001009,711,6.6
tt0001013,232,6
tt0001014,54,4.9
tt0001015,6,4.3
tt0001016,55,5.8
tt0001028,6,4.5
tt0001029,15,4.9
tt0001032,518,6.1
tt0001035,12,5.2
tt0001036,6,2.8
tt0001037,11,3.4
tt0001038,9,3.8
tt0001044,40,5.5
tt0001049,6,4
tt0001050,30,5.6
tt0001054,7,6.6
tt0001058,5,4.4
tt0001061,9,6
tt0001062,812,6.3
tt0001064,6,5.7
tt0001066,5,3.8
tt0001072,170,5.6
tt0001074,8,6.1
tt0001076,9,5.6
tt0001078,5,6.6
tt0001083,51,5.5
tt0001084,105,5.1
tt0001088,19,5.3
tt0001089,17,7.9
tt0001091,114,5.4
tt0001098,5,7
tt0001101,11,4.6
tt0001103,12,5.6
tt0001104,12,5
tt0001105,557,6.6
tt0001106,24,6.5
tt0001107,14,5.4
tt0001111,9,4.4
tt0001112,8,3.4
tt0001113,5,5.8
tt0001115,8,4.6
tt0001116,7,4.9
tt0001117,7,5.9
tt0001118,96,5.5
tt0001120,125,5.5
tt0001121,12,4.9
tt0001122,6,6
tt0001129,12,5.3
tt0001135,18,4.9
tt0001143,11,5
tt0001144,9,5
tt0001145,5,5.8
tt0001150,34,5.5
tt0001151,11,4.5
tt0001152,11,4.4
tt0001153,9,4.3
tt0001156,8,4.8
tt0001159,5,5.8
