n_const,first_name,last_name,birth_year,death_year
nm0000434,Mark,Hamill,1951,NULL
nm0000435,Daryl,Hannah,1960,NULL
nm0000436,Curtis,Hanson,1945,2016
nm0000437,Woody,Harrelson,1961,NULL
nm0000438,Ed,Harris,1950,NULL
nm0000439,Neil,Patrick,1973,NULL
nm0000440,Nina,Hartley,1959,NULL
nm0000441,Noah,Hathaway,1971,NULL
nm0000442,Rutger,Hauer,1944,NULL
nm0000443,Goldie,Hawn,1945,NULL
nm0000444,Glenne,Headly,1955,2017
nm0000445,Dan,Hedaya,1940,NULL
nm0000446,Mariel,Hemingway,1961,NULL
nm0000447,Marilu,Henner,1952,NULL
nm0000448,Lance,Henriksen,1940,NULL
nm0000449,Natasha,Henstridge,1974,NULL
nm0000450,Philip,Seymour,1967,2014
nm0000451,Gaby,Hoffmann,1982,NULL
nm0000452,Lauren,Holly,1963,NULL
nm0000453,Ian,Holm,1931,NULL
nm0000454,Dennis,Hopper,1936,2010
nm0000455,John,Hughes,1950,2009
nm0000456,Holly,Hunter,1958,NULL
nm0000457,John,Hurt,1940,2017
nm0000458,William,Hurt,1950,NULL
nm0000459,Timothy,Hutton,1960,NULL
nm0000460,Jeremy,Irons,1948,NULL
nm0000461,Michael,Ironside,1950,NULL
nm0000462,Kate,Jackson,1948,NULL
nm0000463,Famke,Janssen,1964,NULL
nm0000464,Jim,Jarmusch,1953,NULL
nm0000465,Ron,Jeremy,1953,NULL
nm0000466,Jean-Pierre,Jeunet,1953,NULL
nm0000467,Don,Johnson,1949,NULL
nm0000468,Lynn-Holly,Johnson,1958,NULL
nm0000469,James,Earl,1931,NULL
nm0000470,Jeffrey,Jones,1946,NULL
nm0000471,Raul,Julia,1940,1994
nm0000472,Boris,Karloff,1887,1969
nm0000473,Diane,Keaton,1946,NULL
nm0000474,Michael,Keaton,1951,NULL
nm0000475,Patsy,Kensit,1968,NULL
nm0000476,Sally,Kirkland,1941,NULL
nm0000477,Mia,Kirshner,1975,NULL
nm0000478,Tawny,Kitaen,1961,NULL
nm0000479,Walter,Koenig,1936,NULL
nm0000480,Elias,Koteas,1961,NULL
nm0000481,Alice,Krige,1954,NULL
nm0000482,Sylvia,Kristel,1952,2012
nm0000483,Christopher,Lambert,1957,NULL
nm0000484,John,Landis,1950,NULL
nm0000485,Fritz,Lang,1890,1976
nm0000486,Heather,Langenkamp,1964,NULL
nm0000487,Ang,Lee,1954,NULL
nm0000488,Brandon,Lee,1965,1993
nm0000489,Christopher,Lee,1922,2015
nm0000490,Spike,Lee,1957,NULL
nm0000491,John,Leguizamo,1964,NULL
nm0000492,Jennifer,Jason,1962,NULL
nm0000493,Jack,Lemmon,1925,2001
nm0000494,Robert,Sean,1969,NULL
nm0000495,Téa,Leoni,1966,NULL
nm0000496,Juliette,Lewis,1973,NULL
nm0000497,Jennifer,Lien,1974,NULL
nm0000498,Matthew,Lillard,1970,NULL
nm0000499,Bai,Ling,1966,NULL
nm0000500,Richard,Linklater,1960,NULL
nm0000501,Ray,Liotta,1954,NULL
nm0000502,Christopher,Lloyd,1938,NULL
nm0000503,Emily,Lloyd,1970,NULL
nm0000504,Amy,Locane,1971,NULL
nm0000505,Nia,Long,1970,NULL
nm0000506,Julia,Louis-Dreyfus,1961,NULL
nm0000507,Rob,Lowe,1964,NULL
nm0000508,Carey,Lowell,1961,NULL
nm0000509,Bela,Lugosi,1882,1956
nm0000510,Andie,MacDowell,1958,NULL
nm0000511,Shirley,MacLaine,1934,NULL
nm0000512,Elle,Macpherson,1964,NULL
nm0000513,William,H.Macy,1950,NULL
nm0000514,Michael,Madsen,1958,NULL
nm0000515,Virginia,Madsen,1961,NULL
nm0000516,Lee,Majors,1939,NULL
